"Inizio dei report","Fine dei report","Nome dell'inserzione","Pubblicazione dell'inserzione","Impostazione di attribuzione",Risultati,"Indicatore di risultato",Copertura,Frequenza,"Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Fine,"Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione",Impression,"CPM (costo per 1000 impression) (EUR)","Clic sul link",shop_clicks,"CPC (costo per clic sul link) (EUR)","CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione","Costo per visualizzazione della pagina di destinazione (EUR)","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS risultati","Indicatore di valore del risultato","Valore risultati",Contatti,"Costo per contatto (EUR)","Contatti sul sito web","Costo per contatto (EUR)"
2024-12-12,2026-06-18,"Grafica titolo + cellulare",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",3,actions:offsite_conversion.custom.1010872667429653,139,1.359712,0.21666667,10,Giornaliero,0.65,"In corso",-,-,-,189,3.439153,8,,0.08125,4.232804,13,6.878307,0.05,9,0.072222,,,,,,,,
2024-12-12,2026-06-18,"Grafica donna quiz",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,49,1.122449,,10,Giornaliero,0.25,"In corso",-,-,-,55,4.545455,5,,0.05,9.090909,6,10.909091,0.041667,5,0.05,,,,,,,,
2024-12-12,2026-06-18,"Pulsante + cellulare doppio",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,17,1,,10,Giornaliero,0.04,"In corso",-,-,-,17,2.352941,,,,,0,0,0,,,,,,,,,,
2024-12-12,2026-06-18,"Call to action + cellulare",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",74,actions:offsite_conversion.custom.1010872667429653,2850,1.615439,0.18932432,10,Giornaliero,14.01,"In corso",-,-,-,4604,3.043006,273,,0.051319,5.929626,365,7.927889,0.038384,248,0.056492,,,,,,,,
2024-12-12,2026-06-18,"Grafica domanda + 3 vantaggi",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,49,1.326531,,10,Giornaliero,0.18,"In corso",-,-,-,65,2.769231,1,,0.18,1.538462,2,3.076923,0.09,,,,,,,,,,
2024-12-12,2026-06-18,"Video Daniela gancio positivo",inactive,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,93,1.225806,,10,Giornaliero,0.33,"In corso",-,-,-,114,2.894737,8,,0.04125,7.017544,14,12.280702,0.023571,6,0.055,,,,,,,,
2024-12-12,2026-06-18,"Video Daniela gancio negativo",not_delivering,"7 giorni dal clic o 1 giorno dalla visualizzazione",1530,actions:offsite_conversion.custom.1010872667429653,49715,1.835522,0.16427451,10,Giornaliero,251.34,"In corso",-,-,-,91253,2.75432,5110,,0.049186,5.599816,10401,11.397981,0.024165,4383,0.057344,0.693801,,,,,,,
