"Top territories","Distribution"
"IT","0.765"
"FR","0.047"
"RO","0.007"
"DE","0.006"
"CH","0.005"
"GB","0.002"
"US","0.002"
"BE","0.001"
"BG","0.001"
"MT","0.001"
"Others","0.163"
