Matched locations report
"May 10, 2026 - May 26, 2026"
Matched location,Bid adj.,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
"Autonomous Province of Trento, Trentino-South Tyrol, Italy", --,Added,25,365,6.85%,EUR,0.84,21.09,0.00%,0.00,0.00
"Metropolitan City of Venice, Veneto, Italy", --,Added,33,401,8.23%,EUR,0.92,30.20,0.00%,0.00,0.00
"Province of Treviso, Veneto, Italy", --,Added,49,666,7.36%,EUR,0.83,40.85,0.00%,0.00,0.00
"Province of Vicenza, Veneto, Italy", --,Added,62,697,8.90%,EUR,1.09,67.29,0.00%,0.00,0.00
"Province of Belluno, Veneto, Italy", --,Added,8,70,11.43%,EUR,0.62,4.93,0.00%,0.00,0.00
"Province of Verona, Veneto, Italy", --,Added,42,595,7.06%,EUR,0.75,31.31,0.00%,0.00,0.00
"Province of Padua, Veneto, Italy", --,Added,53,676,7.84%,EUR,0.95,50.23,0.00%,0.00,0.00
Total: Locations,,,272,"3,470",7.84%,EUR,0.90,245.91,0.00%,0.00,0.00
Total: Campaign,,,272,"3,470",7.84%,EUR,0.90,245.91,0.00%,0.00,0.00
