Retail categories
All time
Retail category (1st level),Retail category (2nd level),Campaign type,Impr.,Clicks,Currency code,Cost,Conversions,Conv. value
Hardware,Power & Electrical Supplies,,50,8,EUR,6.77,0.00,0.00
Media,Books,,54,6,EUR,6.68,0.00,0.00
Business & Industrial,Material Handling,,14,1,EUR,0.75,0.00,0.00
Hardware,Tools,,11,1,EUR,0.76,0.00,0.00
Home & Garden,Household Appliances,,11,1,EUR,0.81,0.00,0.00
