"Nome dell'inserzione","Nome della campagna","Nome del gruppo di inserzioni",Inserzioni,"Area geografica","Stato di pubblicazione","Livello di pubblicazione","Tipo di risultato",Risultati,"Costo per risultato","Importo speso (EUR)",Impression,Copertura,"Impostazione di attribuzione","Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione","Nome del gruppo di inserzioni","Clic sul link",Frequenza,"CTR (tutti)","CPM (costo per 1000 impression)","Riproduzioni del video al 25%","Riproduzioni del video al 50%",ThruPlay,"Inizio dei report","Fine dei report"
"Video - Raccolta contatti Iperammortamento - Copia","Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno","Video - Raccolta contatti Iperammortamento - Copia",Veneto,active,ad,"Contatti (modulo)",5,70.15398452,350.76992262,20061,9757,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,"Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",200,2.05606231,1.49543891,17.48516637,,,,2024-11-14,2026-06-17
"Video - Raccolta contatti Iperammortamento - Copia","Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno","Video - Raccolta contatti Iperammortamento - Copia","Trentino-Alto Adige",active,ad,"Contatti (modulo)",1,34.3858742,34.3858742,1717,888,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,"Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",26,1.93355856,1.80547467,20.02671765,,,,2024-11-14,2026-06-17
"Video - Raccolta contatti Iperammortamento - Video più breve","Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno","Video - Raccolta contatti Iperammortamento - Video più breve",Lombardia,active,ad,,,,21.02,823,501,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,"Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",6,1.64271457,1.09356015,25.54070474,,,,2024-11-14,2026-06-17
"Video - Raccolta contatti Iperammortamento - Copia","Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno","Video - Raccolta contatti Iperammortamento - Copia",Lombardia,active,ad,,,,18.87322415,676,452,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,"Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",7,1.49557522,1.47928994,27.91897063,,,,2024-11-14,2026-06-17
"Video - Raccolta contatti Iperammortamento - Video più breve","Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno","Video - Raccolta contatti Iperammortamento - Video più breve",Veneto,active,ad,,,,18.6,924,540,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,"Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",9,1.71111111,1.19047619,20.12987013,,,,2024-11-14,2026-06-17
"Video - Raccolta contatti Iperammortamento - Video più breve","Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno","Video - Raccolta contatti Iperammortamento - Video più breve",Emilia-Romagna,active,ad,,,,8.63,369,248,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,"Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",4,1.48790323,1.35501355,23.38753388,,,,2024-11-14,2026-06-17
"Video - Raccolta contatti Iperammortamento - Copia","Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno","Video - Raccolta contatti Iperammortamento - Copia",Emilia-Romagna,active,ad,,,,5.73097903,264,144,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,"Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",4,1.83333333,2.65151515,21.70825391,,,,2024-11-14,2026-06-17
"Video - Raccolta contatti Iperammortamento - Video più breve","Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno","Video - Raccolta contatti Iperammortamento - Video più breve","Trentino-Alto Adige",active,ad,,,,1.47,91,54,"7 giorni dal clic o 1 giorno dalla visualizzazione",-,-,-,"Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",,1.68518519,0,16.15384615,,,,2024-11-14,2026-06-17
