Asset performance report
"May 11, 2026 - June 11, 2026"
Asset,Asset type,Campaign type,Used by,Pinned position 1,Pinned position 2,Pinned position 3,Pinned,Added by,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Iperammortamento: il tuo investimento rientra?,Description,Search,1,0,0,0,0,Advertiser,"3,525",245,6.95%,EUR,0.89,219.03,0.00%,0.00,0.00
Consulenza Gratuita Iperammortamento 2026-2028: scopri se il tuo investimento rientra,Description,Search,1,0,0,0,0,Advertiser,"3,066",254,8.28%,EUR,0.92,233.85,0.00%,0.00,0.00
Verifica il tuo caso senza impegno,Description,Search,1,0,0,0,0,Advertiser,828,71,8.57%,EUR,1.03,73.36,0.00%,0.00,0.00
Studio Bognolo: la consulenza per l'iperammortamento 2026.,Description,Search,1,0,0,0,0,Advertiser,"2,253",162,7.19%,EUR,0.93,150.77,0.00%,0.00,0.00
