When your ads showed
"June 11, 2026 - June 17, 2026"
Day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
2026-06-17,18,326,5.52%,EUR,1.89,34.00,29.63%,60.19%,0.00,0,0,0.00%
2026-06-16,15,198,7.58%,EUR,2.42,36.23,31.63%,68.37%,0.00,0,0,0.00%
2026-06-15,7,350,2.00%,EUR,2.34,16.41,35.29%,73.53%,0.00,0,0,0.00%
2026-06-14,9,324,2.78%,EUR,0.41,3.65,16.67%,33.33%,0.00,0,0,0.00%
2026-06-13,14,512,2.73%,EUR,0.37,5.25,33.33%,100.00%,0.00,0,0,0.00%
2026-06-12,29,"2,096",1.38%,EUR,0.58,16.70,36.84%,63.16%,0.00,0,0,0.00%
2026-06-11,5,551,0.91%,EUR,1.34,6.70,25.00%,71.88%,0.00,0,0,0.00%
