Campaign report
"May 11, 2026 - June 11, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign type,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Bid strategy type,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / conv.,Original conv. value
Enabled,IT | Search | Conv | Brand,26.00, --,Daily,EUR,Eligible,,95.00,Search,0,"8,269","1,525",18.44%,0.36,549.51,Maximize Conversion Value (Target ROAS),8.11%,"13,360.97",24.31,123.67,4.44,"13,360.97"
Enabled,IT | Pmax | Conv | Hot&Cold,18.00, --,Daily,EUR,Eligible (Limited),limited by budget; most asset groups limited by policy; Products are disapproved,78.16,Performance Max,0.020,"157,956","4,099",2.60%,0.14,554.14,Maximize Conversion Value (Target ROAS),0.48%,"1,679.94",3.03,19.67,28.18,"1,679.94"
Enabled,IT | Search | Traffico | Cold,9.00, --,Daily,EUR,Eligible (Limited),limited by budget,88.95,Search,0,"40,935","6,635",16.21%,0.04,283.65,Maximize Conversion Value (Target ROAS),0.17%,908.47,3.20,11.17,25.40,908.47
Total: Campaigns, --, --, --, --,EUR, --,, --, --,0.020,"207,160","12,259",5.92%,0.11,1387.30, --,1.26%,"15,949.38",11.50,154.50,8.98,"15,949.38"
Total: Account,,,,,EUR,,,,,0.020,"207,160","12,259",5.92%,0.11,1387.30,,1.26%,"15,949.38",11.50,154.50,8.98,"15,949.38"
Total: Search,,,,,EUR,,,,Search,0,"49,204","8,160",16.58%,0.10,833.16,,1.65%,"14,269.43",17.13,134.83,6.18,"14,269.43"
Total: Performance Max,,,,,EUR,,,,Performance Max,0.020,"157,956","4,099",2.60%,0.14,554.14,,0.48%,"1,679.94",3.03,19.67,28.18,"1,679.94"
Total: Video,,,,,EUR,,,,Video,0,0,0, --,0,0.00,,0.00%,0.00,0.00,0.00,0.00,0.00
