Ad group report
"May 11, 2026 - June 11, 2026"
Ad group status,Ad group,Campaign,Status,Status reasons,Currency code,TrueView target CPV,Target ROAS,Ad group type,Currency code,TrueView avg. CPV,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand Inclusions,Locations of interest,Conv. rate,Conv. value,Conv. value / cost,Conversions,Cost / conv.,Original conv. value
Paused,B-Search - gruppo di annunci dinamici,IT | Search | Conv | Brand,Paused,ad group paused,EUR, --,2800%,Dynamic,EUR,0,0,0, --,0,0.00,[],[],0.00%,0.00,0.00,0.00,0.00,0.00
Enabled,Rimedi,IT | Search | Traffico | Cold,Eligible,unknown,EUR, --,400%,Standard,EUR,0,"40,935","6,635",16.21%,0.04,283.65,[],[],0.17%,908.47,3.20,11.17,25.40,908.47
Enabled,Branding,IT | Search | Conv | Brand,Eligible,unknown,EUR, --,2800%,Standard,EUR,0,"8,269","1,525",18.44%,0.36,549.51,[],[],8.11%,"13,360.97",24.31,123.67,4.44,"13,360.97"
Total: Ad groups,,,,,,,,,EUR,0,"49,204","8,160",16.58%,0.10,833.16,,,1.65%,"14,269.43",17.13,134.83,6.18,"14,269.43"
Total: Account,,,,,,,,,EUR,0.020,"207,160","12,259",5.92%,0.11,1387.30,,,1.26%,"15,949.38",11.50,154.50,8.98,"15,949.38"
Total: Search,,,,,,,,,EUR,0,"49,204","8,160",16.58%,0.10,833.16,,,1.65%,"14,269.43",17.13,134.83,6.18,"14,269.43"
Total: Performance Max,,,,,,,,,EUR,0.020,"157,956","4,099",2.60%,0.14,554.14,,,0.48%,"1,679.94",3.03,19.67,28.18,"1,679.94"
Total: Video,,,,,,,,,EUR,0,0,0, --,0,0.00,,,0.00%,0.00,0.00,0.00,0.00,0.00
