Asset groups report
"May 11, 2026 - June 11, 2026"
Asset group status,Asset Group,Campaign,Headlines,Long Headlines,Descriptions,Marketing Images,Square Marketing Images,Portrait Marketing Images,Ad Strength,Status,Audience signal,Search themes,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. value,Conv. value / cost,Conv. rate,Conversions,Cost / conv.
ENABLED,Interessi,IT | Pmax | Conv | Hot&Cold,"Alternativa Ai Bifosfonati, La fiducia di +1000 clienti, Vuoi Migliorare T-Score?, Stop Alla Fragilità Ossea, Alla Ricerca Di Miglioramenti?, Miglior Collagene Per Ossa, Collagene Puro Idrolizzato, Provato da migliaia di clienti, Ossa & Articolazioni, Scelto da migliaia di clienti, Azienda italiana, Acquisto Sicuro E Reso Gratis, Spedizione gratis sopra € 63","Ritrovare il benessere delle ossa È Possibile Con la Giusta Soluzione. Scopri Quale, Recupera L’Elasticità Ossea Con Il Collagene Neogela, Scopri Come Recuperare La Densità Ossea In Modo Naturale, Non Temere Più La Prossima Visita: Scegli Neogela Collagene E Migliora Il Tuo T-Score, Recupera La Densità: Scopri Neogela Collagene Naturale","Migliora Il Benessere Delle Tue Ossa Con Neogela Collagene, Limitare Naturalmente L’Osteoporosi È Possibile Con La Giusta Soluzione. Scopri Quale, Abbandona La Paura per le tue ossa: Recupera L’Elasticità Ossea Con Il Collagene Neogela, Scopri Come Recuperare La Densità Ossea In Modo Naturale, Recupera La Densità Ossea Senza Effetti Collaterali: Scopri Neogela Collagene Vero","https://tpc.googlesyndication.com/simgad/2861718300530045900, https://tpc.googlesyndication.com/simgad/3831318191213794772, https://tpc.googlesyndication.com/simgad/17221773843611966529","https://tpc.googlesyndication.com/simgad/6295185215728260224, https://tpc.googlesyndication.com/simgad/6607754371025879463, https://tpc.googlesyndication.com/simgad/3483040026969732004, https://tpc.googlesyndication.com/simgad/18424792772730918348, https://tpc.googlesyndication.com/simgad/9535715398565443360",https://tpc.googlesyndication.com/simgad/14199979406576672280,Average,Eligible (Limited),affinità - copia, --,"2,769",595,21.49%,EUR,0.02,13.64,0.00,0.00,0.00%,0.00,0.00
ENABLED,Interessi_affinità di mercato,IT | Pmax | Conv | Hot&Cold,"Alternativa Ai Bifosfonati, Osteoporosi: Il Vero Rimedio, Vuoi Migliorare T-Score?, Stop Alla Fragilità Ossea, Alla Ricerca Di Miglioramenti?","Affrontare Naturalmente L’Osteoporosi È Possibile Con Il Giusto Rimedio. Scopri Quale, Abbandona La Paura Di Fratturarti: Recupera L’Elasticità Ossea Con Il Collagene Neogela, Come Recuperare La Densità Ossea In Modo Naturale, Scegli Neogela Collagene E Migliora Il Tuo T-Score, Recupera La Densità Ossea Senza Effetti Collaterali: Scopri Neogela Collagene Vero","Migliora La Salute Delle Tue Ossa Con Neogela Collagene, Combattere Naturalmente L’Osteoporosi È Possibile Con Il Giusto Rimedio. Scopri Quale, Abbandona La Paura Di Fratturarti: Recupera L’Elasticità Ossea Con Il Collagene Neogela, Non Tolleri I Farmaci? Scopri Come Recuperare La Densità Ossea In Modo Naturale, Recupera La Densità Ossea Senza Effetti Collaterali: Scopri Neogela Collagene Vero","https://tpc.googlesyndication.com/simgad/3831318191213794772, https://tpc.googlesyndication.com/simgad/2861718300530045900, https://tpc.googlesyndication.com/simgad/10297285019245725511, https://tpc.googlesyndication.com/simgad/4373293933819278831","https://tpc.googlesyndication.com/simgad/6607754371025879463, https://tpc.googlesyndication.com/simgad/6295185215728260224, https://tpc.googlesyndication.com/simgad/3483040026969732004, https://tpc.googlesyndication.com/simgad/13044405251747955576, https://tpc.googlesyndication.com/simgad/6879925150334642640, https://tpc.googlesyndication.com/simgad/2287809561977407078, https://tpc.googlesyndication.com/simgad/4541369930803043219","https://tpc.googlesyndication.com/simgad/17544539676346423187, https://tpc.googlesyndication.com/simgad/3969547639966457386, https://tpc.googlesyndication.com/simgad/14882336287787226122",Average,Eligible (Limited),Interessi in market - copia, --,"69,932","1,521",2.17%,EUR,0.17,256.62,778.11,3.03,0.56%,8.58,29.92
ENABLED,Retargeting,IT | Pmax | Conv | Hot&Cold,"Miglior Collagene Per Ossa, Scelto da migliaia di clienti, L’Alternativa Ai Bifosfonati, Acquisto Sicuro E Reso Gratis, Consulenza prodotto Gratuita, Sicuro, Certificato, Naturale, Ossa e Articolazioni più Sane, Gusto Neutro Solubilità Ottima, Addio a Dolori Articolari, Il Tuo Alleato di Benessere, Collagene Puro, Collagene Puro Idrolizzato, Osteoporosi: Il Vero Rimedio, Collagene per donne +45 anni, Collagene da bere","L’Unico Collagene Puro, Di Tipo 1: Migliora Subito La Densità Ossea, Migliora Anche Tu Il Tuo T-Score: Leggi Le Recensioni Di 100 Utenti Che Sono Migliorati, Spedizione Gratuita Sopra €63 E Reso Sempre Garantito: Acquista Ora Online, In Neogela Trovi Un Team Esperto Pronto A Supportarti: Richiedi La Tua Consulenza Gratuita, Fai Ciò Che Ami Più Lungo Grazie All’Efficacia Del Collagene Neogela: Sicuro E Certificato","Migliora il benessere delle Tue Ossa Con Neogela Collagene, Limita l'Osteoporosi. È Possibile Con la giusta soluzione. Scopri Quale, Abbandona La Paura Di Fratturarti: Recupera L’Elasticità Ossea Con Il Collagene Neogela, Scegli il benessere delle tue Ossa In Modo Naturale, Recupera La Densità Ossea Senza Effetti Collaterali: Scopri Neogela Collagene Naturale","https://tpc.googlesyndication.com/simgad/14229541128130143648, https://tpc.googlesyndication.com/simgad/495723085485986627, https://tpc.googlesyndication.com/simgad/12504220769270307137, https://tpc.googlesyndication.com/simgad/17221773843611966529","https://tpc.googlesyndication.com/simgad/8253747955279005905, https://tpc.googlesyndication.com/simgad/5678559813652179400, https://tpc.googlesyndication.com/simgad/18424792772730918348, https://tpc.googlesyndication.com/simgad/4541369930803043219","https://tpc.googlesyndication.com/simgad/17078450526607069851, https://tpc.googlesyndication.com/simgad/10740324137473682414, https://tpc.googlesyndication.com/simgad/11697031862843069183, https://tpc.googlesyndication.com/simgad/14199979406576672280, https://tpc.googlesyndication.com/simgad/14882336287787226122",Average,Eligible (Limited),Retargeting. - copia, --,"85,255","1,983",2.33%,EUR,0.14,283.88,901.83,3.18,0.56%,11.09,25.60
Total: Filtered unsupported entities,,,,,,,,,,,,,"157,956","4,099",2.60%,EUR,0.14,554.14,"1,679.94",3.03,0.48%,19.67,28.18
Total: Account,,,,,,,,,,,,,"207,160","12,259",5.92%,EUR,0.11,1387.30,"15,949.38",11.50,1.26%,154.50,8.98
