Inserzioni,"Area geografica",Copertura,Impression,Frequenza,"Tipo di risultato",Risultati,"Importo speso (EUR)","Costo per risultato","Inizio dei report","Fine dei report"
"Video - Raccolta contatti Iperammortamento - Copia",Veneto,10068,19834,1.97000397,"Contatti (modulo)",4,346.88151316,86.72037829,2026-05-11,2026-06-11
"Video - Raccolta contatti Iperammortamento - Copia","Trentino-Alto Adige",943,1702,1.80487805,"Contatti (modulo)",1,34.28608002,34.28608002,2026-05-11,2026-06-11
"Video - Raccolta contatti Iperammortamento - Copia",Lombardia,261,339,1.29885057,,,11.09196696,,2026-05-11,2026-06-11
"Video - Raccolta contatti Iperammortamento - Copia",Emilia-Romagna,115,132,1.14782609,,,2.48043986,,2026-05-11,2026-06-11
