"Nome della campagna","Nome del gruppo di inserzioni","Area geografica",Inserzioni,"Stato di pubblicazione","Livello di pubblicazione",Frequenza,"Impostazione di attribuzione","Tipo di risultato",Risultati,"Importo speso (EUR)","Costo per risultato",Inizio,Fine,Copertura,"CTR (tutti)","Tasso di risultati per clic sul link","Interazione con la Pagina","Salvataggi del post","Inizio dei report","Fine dei report"
"Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",Veneto,"Video - Raccolta contatti Iperammortamento - Copia",active,adset,1.97020262,"7 giorni dal clic o 1 giorno dalla visualizzazione","Contatti (modulo)",4,346.93423873,86.73355968,2026-05-13,"In corso",10068,1.50231902,2.01005025,4504,2,2026-05-11,2026-06-11
"Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno","Trentino-Alto Adige","Video - Raccolta contatti Iperammortamento - Copia",active,adset,1.80487805,"7 giorni dal clic o 1 giorno dalla visualizzazione","Contatti (modulo)",1,34.29129146,34.29129146,2026-05-13,"In corso",943,1.8213866,3.84615385,384,,2026-05-11,2026-06-11
"Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",Lombardia,"Video - Raccolta contatti Iperammortamento - Copia",active,adset,1.29885057,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,11.09365293,,2026-05-13,"In corso",261,1.7699115,,96,,2026-05-11,2026-06-11
"Lead Generation - Iperammortamento","Lead Generation - Cap Provincie Vicenza/ Padova/ Verona/Venezia/Treviso/ Trento/Belluno",Emilia-Romagna,"Video - Raccolta contatti Iperammortamento - Copia",active,adset,1.14782609,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,2.48081688,,2026-05-13,"In corso",115,4.54545455,,36,,2026-05-11,2026-06-11
