"Inizio dei report","Fine dei report","Nome del gruppo di inserzioni","Pubblicazione del gruppo di inserzioni",Risultati,"Indicatore di risultato","Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Impression,Copertura,"CPM (costo per 1000 impression) (EUR)",Fine,Inizio,"Impostazione di attribuzione",Offerta,"Tipo di offerta","Ultima modifica significativa",Frequenza,"ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS risultati","Indicatore di valore del risultato","Valore risultati","CTR unico (tasso di clic sul link)","Salvataggi del post","Condivisioni del post","Commenti sul post","Aggiunte al carrello"
2026-05-26,2026-06-24,"Campagna Acquisto Giugno con interessi",inactive,8,actions:offsite_conversion.fb_pixel_purchase,15.87125,500,Totale,126.97,30208,10517,4.203191,2026-07-08,2026-06-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-08T09:29:34+0200,2.872302,3.86863,3.86863039,action_values:offsite_conversion.fb_pixel_purchase,491.2,2.329562,1,7,,19
2026-05-26,2026-06-24,"Campagna Acquisto Giugno pubblico broad",inactive,14,actions:offsite_conversion.fb_pixel_purchase,8.98642857,500,Totale,125.81,27912,11445,4.50738,2026-07-08,2026-06-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-08T09:28:26+0200,2.438794,12.471107,12.47110723,action_values:offsite_conversion.fb_pixel_purchase,1568.99,2.429008,7,1,,35
2026-05-26,2026-06-24,"Campagna Acquisto Giugno pubblico retargeting",inactive,6,actions:offsite_conversion.fb_pixel_purchase,21.18166667,500,Totale,127.09,29544,9234,4.301719,2026-07-08,2026-06-08,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-08T09:25:17+0200,3.19948,8.26737,8.26736958,action_values:offsite_conversion.fb_pixel_purchase,1050.7,4.126056,11,4,3,18
2026-05-26,2026-06-24,"Campagna Acquisto Giugno pubblico retargeting - FB + IG",active,11,actions:offsite_conversion.fb_pixel_purchase,19.33181818,500,Totale,212.65,47882,10543,4.441126,2026-07-08,2026-06-15,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-15T17:55:26+0200,4.541592,5.741359,5.74135904,action_values:offsite_conversion.fb_pixel_purchase,1220.9,3.604287,3,6,4,26
2026-05-26,2026-06-24,"Campagna Acquisto Giugno pubblico broad - FB + IG",active,4,actions:offsite_conversion.fb_pixel_purchase,53.945,500,Totale,215.78,54679,17315,3.946305,2026-07-08,2026-06-15,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-15T17:54:48+0200,3.157898,1.484846,1.48484568,action_values:offsite_conversion.fb_pixel_purchase,320.4,2.084897,4,2,3,17
2026-05-26,2026-06-24,"Campagna Acquisto Giugno con interessi - FB + IG",active,14,actions:offsite_conversion.fb_pixel_purchase,15.14428571,500,Totale,212.02,52850,17606,4.011731,2026-07-08,2026-06-15,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",0,ABSOLUTE_OCPM,2026-06-15T17:55:02+0200,3.001818,5.918923,5.91892274,action_values:offsite_conversion.fb_pixel_purchase,1254.93,2.345791,6,3,1,24
