"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid Type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Website purchase ROAS (return on advertising spend)","Adds to cart","Adds to cart conversion value","Cost per add to cart (EUR)","Purchase ROAS (return on ad spend)","Results ROAS","Result ROAS indicator",Frequency,"CPM (cost per 1,000 impressions) (EUR)","CTR (all)","Clicks (all)","Cost per unique click (all) (EUR)","Cost per unique outbound click (EUR)","Outbound clicks","Cost per landing page view (EUR)","Website landing page views","Checkouts initiated",Purchases,Acquisto
2025-10-10,2025-11-04,"Video Sensibilizzazione Osteoporosi Cliente Michela",not_delivering,2790,page_visit_view,0.05063082,"Using campaign budget",0,141.26,92480,57823,2025-10-28,"1-day click",0,ABSOLUTE_OCPM,0,"Below average – bottom 35% of ads",-,-,"40+ Ita FB",,1,65.2,141.26,,,,1.599364,1.527465,12.321583,11395,0.015969,,,28.252,5,2,,
2025-10-10,2025-11-04,"Video Sensibilizzazione Osteoporosi Cliente Michela",not_delivering,8568,profile_visit_view,0.05353058,"Using campaign budget",0,458.65,153659,106332,2025-10-28,"1-day click",0,ABSOLUTE_OCPM,2025-10-10T17:56:37+0200,Average,-,-,"40+ Ita IG",0.636869,11,832.6,41.695455,0.636869,,,1.445087,2.984856,5.177699,7956,0.061721,,,4.5865,100,12,3,
