"Inizio dei report","Fine dei report","Nome della campagna","Pubblicazione della campagna",Risultati,"Indicatore di risultato","Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Impression,Copertura,Frequenza,"CPM (costo per 1000 impression) (EUR)",Acquisti,Fine,"Impostazione di attribuzione","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS risultati","Indicatore di valore del risultato","Valore risultati",Visualizzazioni,"CTR (tutti)","Conversioni degli acquisti","Costo per acquisto (EUR)","Aggiunte al carrello","Acquisti promossi dallo shop","Acquisti diretti sul sito web"
2023-04-21,2026-05-21,"Black Friday 2024 - Hot&Cold - Conversione",completed,,,,"Uso del budget del gruppo di inserzioni",0,90.69,15218,5191,2.931612,5.95939,,2024-11-29,"Impostazioni di attribuzione multipla",,,,,15588,10.737285,,,,0,0
2023-04-21,2026-05-21,"BAU - Cold - Add to cart",inactive,340,actions:offsite_conversion.fb_pixel_add_to_cart,2.51347059,"Uso del budget del gruppo di inserzioni",0,854.58,222493,58487,3.804145,3.84093,64,"In corso","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",7.019729,27.31554682,action_values:offsite_conversion.fb_pixel_add_to_cart,23343.32,224708,7.338208,5998.92,13.352813,340,0,64
2023-04-21,2026-05-21,"Lead generation Quiz - Cold - Contatti",inactive,1607,actions:offsite_conversion.custom.1010872667429653,0.16602365,"Uso del budget del gruppo di inserzioni",0,266.8,96297,50372,1.911717,2.770595,2,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",0.653598,,,,100729,11.216341,174.38,133.4,10,0,2
2023-04-21,2026-05-21,"Promo di Natale 2024 - Hot & Cold - Conversione",completed,,,,"Uso del budget del gruppo di inserzioni",0,287.82,64807,16150,4.012817,4.441187,28,2025-01-03,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",9.470746,,,,65870,4.45168,2725.87,10.279286,162,0,28
2023-04-21,2026-05-21,"Promo San Valentino - Advantage - Conversione Acquisto",inactive,9,actions:offsite_conversion.fb_pixel_purchase,5.64555556,"Uso del budget del gruppo di inserzioni",0,50.81,8747,2711,3.226485,5.808849,9,"In corso","7 giorni dal clic",14.154497,14.15449715,action_values:offsite_conversion.fb_pixel_purchase,719.19,8757,4.275752,719.19,5.645556,40,0,9
2023-04-21,2026-05-21,"Campagna pre fiera Rimini Wellness - Rimini +60km - ThruPlay",completed,2787,video_thruplay_watched_actions,0.02327951,"Uso del budget del gruppo di inserzioni",0,64.88,32126,20853,1.540594,2.019548,,2025-05-28,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,32888,0.538505,,,,0,0
2023-04-21,2026-05-21,"Campagna Box di Prova - Esclusi clienti - Grafiche e video",inactive,4,actions:offsite_conversion.fb_pixel_purchase,22.1,15,Giornaliero,88.4,19954,10740,1.857914,4.430189,4,"In corso","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",1.056335,1.05633484,action_values:offsite_conversion.fb_pixel_purchase,93.38,20217,5.101734,93.38,22.1,422,0,4
2023-04-21,2026-05-21,"Promo estiva 2025 - Advantage - Conversione Acquisto",inactive,28,actions:offsite_conversion.fb_pixel_purchase,4.89535714,15,Giornaliero,137.07,31145,7441,4.185593,4.401027,28,2025-07-24,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",21.966878,21.96687824,action_values:offsite_conversion.fb_pixel_purchase,3011,31367,2.555787,3011,4.895357,114,0,28
2023-04-21,2026-05-21,"Lead Generation Donna Osteoporosi - Recruiting video",inactive,6,actions:leadgen.other,4.72166667,5,Giornaliero,28.33,6960,3880,1.793814,4.070402,1,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",4.124603,,,,6976,3.002874,116.85,28.33,,0,1
2023-04-21,2026-05-21,"[Conversione] Promo Ottobre Pack Ossa Sane",completed,134,actions:offsite_conversion.fb_pixel_purchase,8.24813433,60,Giornaliero,1105.25,181439,27675,6.556061,6.091579,134,2025-10-28,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",13.770423,13.77042298,action_values:offsite_conversion.fb_pixel_purchase,15219.76,182058,2.92991,15219.76,8.248134,271,0,134
