"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Impressions,Reach,Ends,"Attribution setting",Bid,"Bid Type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Website purchase ROAS (return on advertising spend)","Adds to cart","Adds to cart conversion value","Cost per add to cart (EUR)","Purchase ROAS (return on ad spend)","Results ROAS","Result ROAS indicator",Frequency,"CPM (cost per 1,000 impressions) (EUR)","CTR (all)","Clicks (all)","Cost per unique click (all) (EUR)","Cost per unique outbound click (EUR)","Outbound clicks","Cost per landing page view (EUR)","Website landing page views","Checkouts initiated",Purchases,Acquisto
2025-10-08,2025-11-04,"[Conversione] Creatività Grafica Recensioni",not_delivering,59,actions:offsite_conversion.fb_pixel_purchase,8.2940678,"Using campaign budget",0,489.35,85854,19204,2025-10-28,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-10-21T12:24:31+0200,-,-,-,"[Conversione] Vendita Pack Ossa Sane Ottobre - Pubblico donne +35 anni Italia",14.209543,110,10483.28,4.448636,14.209543,14.20954327,action_values:offsite_conversion.fb_pixel_purchase,4.470631,5.699793,3.577003,3071,0.259602,0.457764,1437,0.394319,1241,131,59,
2025-10-08,2025-11-04,"[Conversione] Creatività Grafica Benefici V1",not_delivering,32,actions:offsite_conversion.fb_pixel_purchase,8.27,"Using campaign budget",0,264.64,43145,11390,2025-10-28,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-10-21T12:24:31+0200,-,-,-,"[Conversione] Vendita Pack Ossa Sane Ottobre - Pubblico donne +35 anni Italia",12.877003,87,7857.8,3.041839,12.877003,12.87700272,action_values:offsite_conversion.fb_pixel_purchase,3.787972,6.133735,2.767412,1194,0.379684,0.574056,668,0.465097,569,81,32,
2025-10-08,2025-11-04,"[Conversione] Creatività Grafica PACK",not_delivering,15,actions:offsite_conversion.fb_pixel_purchase,8.32333333,"Using campaign budget",0,124.85,19407,6345,2025-10-28,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-10-21T12:24:31+0200,-,-,-,"[Conversione] Vendita Pack Ossa Sane Ottobre - Pubblico donne +35 anni Italia",14.30036,25,2295.8,4.994,14.30036,14.30036043,action_values:offsite_conversion.fb_pixel_purchase,3.058629,6.433246,2.287834,444,0.396349,0.5675,291,0.526793,237,26,15,
2025-10-08,2025-11-04,"[Conversione] Creatività Grafica Benefici V2",not_delivering,28,actions:offsite_conversion.fb_pixel_purchase,8.08607143,"Using campaign budget",0,226.41,33033,6921,2025-10-28,"7-day click, 1-day view or 1-day engaged view",0,ABSOLUTE_OCPM,2025-10-21T12:24:31+0200,-,-,-,"[Conversione] Vendita Pack Ossa Sane Ottobre - Pubblico donne +35 anni Italia",13.573385,49,4502.12,4.620612,13.573385,13.57338457,action_values:offsite_conversion.fb_pixel_purchase,4.772865,6.854055,1.837556,607,0.549539,0.749702,392,0.70096,323,67,28,
