"ID del post","ID dell'account","Nome utente dell'account","Nome account",Descrizione,"Durata (s)","Orario di pubblicazione",Permalink,"Tipo di post","Commento sui dati",Data,Visualizzazioni,Copertura,"Mi piace",Condivisioni,"Visite al profilo",Risposte,Navigazione
17962255454963011,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini","Quando assumere il calcio non basta: ce lo spiega @magi.silvana",59,"07/29/2026 03:01",https://www.instagram.com/stories/neogela_collagene/3951995934565005186,"Storia di Instagram",,Totale,179,155,0,0,3,1,156
17922489069393460,17841407424698185,neogela_collagene,"Neogela • Integratore per Ossa e Cartilagini",,57,"07/29/2026 07:17",https://www.instagram.com/stories/neogela_collagene/3951996140530444587,"Storia di Instagram",,Totale,233,200,2,1,4,0,208
