"Nome progetto","Bognolo"
"Intervallo di date","05/11/2026 00:00 - 06/11/2026 23:59"


"URL visitato corrisponde a regex","^https://bognolo\.it/iperammortamento-2026/(\?.*)?$"

"Totale sessioni","100"

"URL visitato corrisponde a regex","^https://bognolo\.it/iperammortamento-2026/(\?.*)?$"

"Data","Ora","Durata sessione","Voce URL","Esci dall'URL","Referrer:","ID utente Clarity","Browser","Dispositivo","Sistema operativo","Nazione","Numero di pagine","Clic sulla sessione","Preferiti","Collegamento registrazione"
"06/04/2026","10:44","00:40","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=EAIaIQobChMIwLrv7JjtlAMV6KaDBx2GbTvuEAAYASAAEgKEuPD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=EAIaIQobChMIwLrv7JjtlAMV6KaDBx2GbTvuEAAYASAAEgKEuPD_BwE","https://www.google.com/","5j6k7r","Firefox","PC","Windows","Italy","2","2","FALSE","https://clarity.microsoft.com/player/wqevuebs52/5j6k7r/1a4e9mq/?ss=1780562678000&sd=40"
"06/04/2026","10:25","01:36","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=CjwKCAjwxITRBhBYEiwA6mZm7QqraNa9itpUmg5nKN5ytZGotCziR9vcNcwdE8R7_LP7Eubdp6bAWBoCNzwQAvD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=CjwKCAjwxITRBhBYEiwA6mZm7QqraNa9itpUmg5nKN5ytZGotCziR9vcNcwdE8R7_LP7Eubdp6bAWBoCNzwQAvD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=CjwKCAjwxITRBhBYEiwA6mZm7QqraNa9itpUmg5nKN5ytZGotCziR9vcNcwdE8R7_LP7Eubdp6bAWBoCNzwQAvD_BwE","1rdn9jn","Chrome","PC","Windows","Italy","1","4","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1rdn9jn/1xhlpwj/?ss=1780561500000&sd=96"
"06/04/2026","10:24","00:04","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=CjwKCAjwxITRBhBYEiwA6mZm7QqraNa9itpUmg5nKN5ytZGotCziR9vcNcwdE8R7_LP7Eubdp6bAWBoCNzwQAvD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=CjwKCAjwxITRBhBYEiwA6mZm7QqraNa9itpUmg5nKN5ytZGotCziR9vcNcwdE8R7_LP7Eubdp6bAWBoCNzwQAvD_BwE","https://www.google.com/","7ap3mt","Chrome","PC","Windows","Italy","1","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/7ap3mt/o770i1/?ss=1780561495000&sd=4"
"06/04/2026","09:46","00:42","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRogjMS7Us8WvHunnIYoL-tpWO&gclid=CjwKCAjwxITRBhBYEiwA6mZm7d65ubFu2-Vcq0Ko9oyrxygFhV2k6iJxfHfSR7-vJJI7Olz74mdNxRoC1soQAvD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRogjMS7Us8WvHunnIYoL-tpWO&gclid=CjwKCAjwxITRBhBYEiwA6mZm7d65ubFu2-Vcq0Ko9oyrxygFhV2k6iJxfHfSR7-vJJI7Olz74mdNxRoC1soQAvD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRogjMS7Us8WvHunnIYoL-tpWO&gclid=CjwKCAjwxITRBhBYEiwA6mZm7d65ubFu2-Vcq0Ko9oyrxygFhV2k6iJxfHfSR7-vJJI7Olz74mdNxRoC1soQAvD_BwE","1jyf9ii","MobileSafari","Mobile","iOS","Italy","1","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1jyf9ii/96nunm/?ss=1780559169000&sd=42"
"06/04/2026","09:46","00:02","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRogjMS7Us8WvHunnIYoL-tpWO&gclid=CjwKCAjwxITRBhBYEiwA6mZm7d65ubFu2-Vcq0Ko9oyrxygFhV2k6iJxfHfSR7-vJJI7Olz74mdNxRoC1soQAvD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRogjMS7Us8WvHunnIYoL-tpWO&gclid=CjwKCAjwxITRBhBYEiwA6mZm7d65ubFu2-Vcq0Ko9oyrxygFhV2k6iJxfHfSR7-vJJI7Olz74mdNxRoC1soQAvD_BwE","https://www.google.com/","m25puv","MobileSafari","Mobile","iOS","Italy","1","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/m25puv/7qg7kn/?ss=1780559166000&sd=2"
"06/04/2026","09:45","21:43","https://bognolo.it/iperammortamento-2026/","https://bognolo.it/iperammortamento-2026/","","tx5dgx","Chrome","PC","MacOS","Italy","4","10","FALSE","https://clarity.microsoft.com/player/wqevuebs52/tx5dgx/1jm2zed/?ss=1780559159000&sd=1303"
"06/04/2026","09:12","00:06","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=CjwKCAjwxITRBhBYEiwA6mZm7dvPSxZmnjfHdgf5Pf8--gSPburBowDOuubCSGomWinLwj0oZ16oyhoC2tIQAvD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=CjwKCAjwxITRBhBYEiwA6mZm7dvPSxZmnjfHdgf5Pf8--gSPburBowDOuubCSGomWinLwj0oZ16oyhoC2tIQAvD_BwE","https://www.google.com/","1snegxp","Chrome","PC","Windows","Italy","1","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1snegxp/1tnl0ue/?ss=1780557143000&sd=6"
"06/04/2026","08:53","00:20","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=Cj0KCQjwof_QBhCgARIsADaMzOeboVuz-s_RO3vWtkn1lXSrLNVLqADmtLwRApW7LTq5d2k5U4Po3EwaAm96EALw_wcB","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=Cj0KCQjwof_QBhCgARIsADaMzOeboVuz-s_RO3vWtkn1lXSrLNVLqADmtLwRApW7LTq5d2k5U4Po3EwaAm96EALw_wcB","https://www.google.com/","bqgia0","Chrome","PC","Windows","Italy","2","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/bqgia0/kbiin7/?ss=1780556012000&sd=20"
"06/04/2026","08:51","00:37","https://bognolo.it/iperammortamento-2026/#_form","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=EAIaIQobChMIz9aKz__slAMVJ9JEBx1FdR2KEAAYASACEgKK7vD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=EAIaIQobChMIz9aKz__slAMVJ9JEBx1FdR2KEAAYASACEgKK7vD_BwE","1ht8rnv","Chrome","PC","Windows","Italy","3","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1ht8rnv/1trzwz3/?ss=1780555909000&sd=37"
"06/04/2026","08:51","00:01","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=EAIaIQobChMIz9aKz__slAMVJ9JEBx1FdR2KEAAYASACEgKK7vD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=EAIaIQobChMIz9aKz__slAMVJ9JEBx1FdR2KEAAYASACEgKK7vD_BwE","https://www.google.com/","1savnvu","Chrome","PC","Windows","Italy","1","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1savnvu/1itrm0o/?ss=1780555907000&sd=1"
