"Nome progetto","Bognolo"
"Intervallo di date","05/11/2026 00:00 - 06/18/2026 23:59"


"Totale sessioni","100"

"Data","Ora","Durata sessione","Voce URL","Esci dall'URL","Referrer:","ID utente Clarity","Browser","Dispositivo","Sistema operativo","Nazione","Numero di pagine","Clic sulla sessione","Preferiti","Collegamento registrazione"
"06/08/2026","10:32","02:36","https://bognolo.it/iperammortamento-2026/","https://bognolo.it/iperammortamento-2026/","","g1ncgl","SamsungInternet","Mobile","Android","Italy","3","2","FALSE","https://clarity.microsoft.com/player/wqevuebs52/g1ncgl/13nbjkz/?ss=1780907554000&sd=156"
"06/08/2026","10:31","04:40","https://bognolo.it/","https://bognolo.it/","https://www.google.com/","wgwl34","Edge","PC","Windows","Italy","3","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/wgwl34/1nqnje9/?ss=1780907472000&sd=280"
"06/08/2026","09:55","00:01","https://bognolo.it/iperammortamento-2026/","https://bognolo.it/iperammortamento-2026/","","tx5dgx","Chrome","PC","MacOS","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/tx5dgx/148i2ol/?ss=1780905315000&sd=1"
"06/08/2026","09:06","02:07","https://bognolo.it/iperammortamento-2026/","https://bognolo.it/iperammortamento-2026/","","g1ncgl","SamsungInternet","Mobile","Android","Italy","2","11","FALSE","https://clarity.microsoft.com/player/wqevuebs52/g1ncgl/16hy9n5/?ss=1780902403000&sd=127"
"06/08/2026","08:33","04:26","https://bognolo.it/","https://bognolo.it/consulenza-marcatura-ce/","","tfm4dr","Chrome","PC","Windows","Italy","6","7","FALSE","https://clarity.microsoft.com/player/wqevuebs52/tfm4dr/11ae1x2/?ss=1780900389000&sd=266"
"06/08/2026","08:32","00:01","https://bognolo.it/","https://bognolo.it/","","1yn5qnp","Chrome","PC","Windows","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1yn5qnp/1yqg4y3/?ss=1780900373000&sd=1"
"06/07/2026","15:59","03:22","https://bognolo.it/","https://bognolo.it/","","1kt91pa","Firefox","PC","Linux","Italy","3","2","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1kt91pa/1hlh24v/?ss=1780840776000&sd=202"
"06/05/2026","21:28","00:08","https://bognolo.it/","https://bognolo.it/","https://www.google.com/","1tgos1v","Chrome","PC","Windows","Brazil","2","3","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1tgos1v/1hi39do/?ss=1780687720000&sd=8"
"06/05/2026","18:28","22:49","https://bognolo.it/iperammortamento-2026/?builder=true&builder_id=d424bb81e54fe91edd49bbf26d171820","https://bognolo.it/iperammortamento-2026/?builder=true&builder_id=d424bb81e54fe91edd49bbf26d171820","https://bognolo.it/iperammortamento-2026/?fb-edit=1","1kt91pa","Firefox","PC","Linux","Italy","2","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1kt91pa/1ogu6e0/?ss=1780676928000&sd=1369"
"06/05/2026","16:41","00:05","https://bognolo.it/iperammortamento-2026/#form","https://bognolo.it/iperammortamento-2026/#form","","16earks","ChromeMobile","Mobile","iOS","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/16earks/1tz5iv0/?ss=1780670466000&sd=5"
"06/05/2026","15:58","06:48","https://bognolo.it/fusion_form/form-ammortamento-2026/?builder=true&builder_id=aa33721e047aefc4f1fbc6f31fea1947","https://bognolo.it/fusion_form/form-ammortamento-2026/?builder=true&builder_id=05f10405450589a168dfe18599898741","https://bognolo.it/fusion_form/form-ammortamento-2026/?fb-edit=1","1kt91pa","Firefox","PC","Linux","Italy","2","21","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1kt91pa/1ei49rg/?ss=1780667932000&sd=408"
