Risorsa creativa,Tipo di creatività,Costo,Impression,CPM,Clic (destinazione),CPC (destinazione),CTR (destinazione),Clic (tutti),CTR (tutti),Segui a pagamento,Mi piace a pagamento,Commenti a pagamento,Condivisioni a pagamento,Visite al profilo a pagamento,Tasso di visite al profilo a pagamento,Clic su audio,Visualizzazioni video,Visualizzazioni video di 2 secondi,Visualizzazioni video di 6 secondi,Visualizzazioni video al 25%,Visualizzazioni video al 50%,Visualizzazioni video al 75%,Visualizzazioni video al 100%,Tempo medio di riproduzione per visualizzazione video,Visualizzazioni con alto potenziale di interazione di 6 secondi,Visualizzazioni focalizzate di 6 secondi (visualizzazioni pagate),Visualizzazioni focalizzate di 6 secondi (interazioni da annunci a pagamento),Tasso di visualizzazioni focalizzate di 6 secondi,Visualizzazioni con alto potenziale di interazione di 15 secondi,Visualizzazioni focalizzate di 15 secondi (visualizzazioni da annunci a pagamento),Visualizzazioni focalizzate di 15 secondi (interazioni da annunci a pagamento),Tasso di visualizzazioni focalizzate di 15 secondi,Campagne pubblicitarie correlate,Gruppi di annunci correlati,Annunci correlati,Identità,ID post,Fonte primaria,Fonte secondaria,Data creazione,Modified on,Valuta
"Quando arriva il referto MOC e parte il caos più totale! Ti capiamo. 💭 La MOC è l'esame più importante per le tue ossa, ma interpretarla non è semplice. In questo video ti spieghiamo a che cosa prestare attenzione, per essere più consapevole della salute delle tue ossa. #neogela #collagene #saluteossa #moc #osteoporosi #osteopenia",Post,285.54,142144,2.01,0,0.00,0.00%,6259,4.40%,1231,2191,25,667,900,0.63%,0,140783,69163,32193,11589,6698,3792,1571,7.68,31889,0,0,0.00%,15332,0,0,0.00%,1850318495484962,1850318495484978,1850318550953186,Neogela_Collagene,7577731054539132192,Contenuti tuoi,Account TikTok,2025-12-01,2025-12-01,EUR
"""Prendo la vitamina D… eppure mi hanno diagnosticato l’osteoporosi. Come è possibile?""È una domanda che ci fate spessissimo!🤔 La vitamina D è fondamentale, aiuta l'assorbimento del calcio, ma non basta da sola a prevenire o curare l’osteoporosi. 👉 Le nostre ossa hanno una struttura complessa, con uno strato ricco di collagene, che funge da ""rete"" su cui il calcio si aggancia. Se questa rete è debole, il calcio non si fissa, e le ossa perdono densità, diventando fragili. 👉 Per ossa forti, servono anche attività fisica mirata, un’alimentazione completa e un buon equilibrio ormonale, soprattutto in menopausa. La vitamina D è un pezzo importante, ma è solo una parte di un puzzle più grande! 🦴💪 #neogela #vitaminad #saluteossa #collagene #integratore #consigli",Post,247.65,166740,1.49,0,0.00,0.00%,4985,2.99%,996,2448,54,175,799,0.48%,0,165000,55910,24714,13967,9265,6862,2716,6.85,24603,0,0,0.00%,15753,0,0,0.00%,1850318495484962,1850318495484978,1850953248114689,Neogela_Collagene,7580327391667424545,Contenuti tuoi,Account TikTok,2025-12-08,2025-12-08,EUR
"Assolutamente sì! Se hai l’osteoporosi, non fermarti: sei ancora in tempo per migliorare. ↗️ La cosa peggiore che si possa fare di fronte ad una diagnosi di osteoporosi è pensare che ormai non ci sia più nulla da fare lasciando che il tempo faccia il suo corso. ❌ Sicuramente capire da dove ha avuto origine la patologia è fondamentale per trovare il percorso di cura più adatto, ma ci sono 4 cose che puoi cominciare a fare subito: 🤔 ✅ Mangiare correttamente facendo attenzione a introdurre tutti i nutrienti necessari ✅ Regolarizzare l’attività fisica con carico con l’aiuto di un professionista ✅ Evitare abitudini controproducenti come fumo e alcol ✅ Discutere con il tuo medico l’eventuale assunzione di integratori e/o farmaci Non trascurare le tue ossa: seguici e scopri come prenderti cura di loro ogni giorno 💪",Post,51.58,33442,1.54,0,0.00,0.00%,916,2.74%,171,470,13,24,152,0.45%,0,33124,13458,4697,1949,1310,963,315,5.81,4679,0,0,0.00%,2603,0,0,0.00%,1850318495484962,1850318495484978,1850318629756962,Neogela_Collagene,7566596947755158817,Contenuti tuoi,Account TikTok,2025-12-01,2025-12-01,EUR
"Ecco cosa ci ha raccontato Mascia la prima volta che ci siamo incontrati. Mascia non ci conosceva ma da tempo era alla ricerca di una soluzione alternativa per trattare la sua osteoporosi. 🦴 Dall’ultima diagnosi più di 2 anni fa e l’indicazione di assumere farmaci è rimasto tutto in sospeso: un po’ per la scelta di non procedere con la cura farmacologica. un po’ per la mancanza di informazioni riguardo una strada alternativa. 🤔 Ci siamo conosciuti sui social, le abbiamo chiesto se volesse condividere la sua esperienza e lei ha accettato. È venuta a trovarci, ha lasciato la sua testimonianza, ha parlato con il nostro dottore e adesso comincerà un nuovo percorso per curare questa patologia. 🥼 E tutto questo con il nostro supporto. 😊 Se anche tu soffri di osteoporosi ma non sai da dove cominciare, segui la pagina e contattaci 💙",Post,6.68,3580,1.87,0,0.00,0.00%,81,2.26%,12,38,3,2,14,0.39%,0,3544,1664,718,228,110,85,51,9.67,713,0,0,0.00%,442,0,0,0.00%,1850318495484962,1850318495484978,1850318629764098,Neogela_Collagene,7564354593044352289,Contenuti tuoi,Account TikTok,2025-12-01,2025-12-01,EUR
"Chi altro ha notato che la pelle è più bella da quando assume Neogela? 🙋‍♀️ Non è magia: è collagene puro di qualità che lavora per tutto l'organismo. Il collagene di tipo I di Neogela lavora in primis per ossa e articolazioni, ma nutre anche la struttura portante della tua pelle. 👆Nel video scoprirete perché succede e cosa dicono le nostre clienti #neogela #collagene #pelle #saluteossa #articolazioni",Post,2.78,938,2.96,0,0.00,0.00%,13,1.39%,3,8,0,0,2,0.21%,0,928,366,70,21,8,4,2,2.59,69,0,0,0.00%,18,0,0,0.00%,1850318495484962,1850318495484978,1850318550960130,Neogela_Collagene,7576245854605004064,Contenuti tuoi,Account TikTok,2025-12-01,2025-12-01,EUR
"Hai l'artrosi, ma fai queste 3 cose basilari?😬 L'artrosi non si cura in un giorno, ma OGNI giorno puoi fare qualcosa. Le 3 regole d'oro: 1️⃣ Muoviti (ma senza esagerare) 2️⃣ Bevi tanto 3️⃣ Mantieni il peso forma Le sai tutte, ma le fai davvero? 👀 Commenta quale ti costa di più 👇 #artrosi #articolazioni #neogela #idratazione #collagene #salute #benessere #consigli #healthtips",Post,2.59,1065,2.43,0,0.00,0.00%,19,1.78%,5,9,0,0,0,0.00%,0,1050,167,78,57,42,27,6,3.00,74,0,0,0.00%,61,0,0,0.00%,1850318495484962,1850318495484978,1850318550966626,Neogela_Collagene,7571799773490040096,Contenuti tuoi,Account TikTok,2025-12-01,2025-12-01,EUR
Fai spazio alla tua scorta di collagene in bustine 😉,Post,1.99,342,5.82,0,0.00,0.00%,8,2.34%,5,3,0,0,0,0.00%,0,339,108,18,37,16,9,4,1.92,17,0,0,0.00%,4,0,0,0.00%,1850318495484962,1850318495484978,1850318550974594,Neogela_Collagene,7555448529066396960,Contenuti tuoi,Account TikTok,2025-12-01,2025-12-01,EUR
