# ----------------------------------------
# bognolo.it
# Untitled exploration-Free form 1
# 20260511-20260618
# ----------------------------------------

Page path and screen class,Event name,Event count
,,2200,Grand total
/iperammortamento-2026/,page_view,764
/iperammortamento-2026/,user_engagement,615
/iperammortamento-2026/,session_start,378
/iperammortamento-2026/,first_visit,279
/iperammortamento-2026/,scroll,135
/iperammortamento-2026/,form_start,26
/iperammortamento-2026/,form_submit,3

