Campaign performance
All time
Campaign,Campaign state,Campaign type,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
IT | Search | Conv | Brand,,,"49,848","202,700",24.59%,EUR,0.36,18074.65,76.67%,86.92%,"4,549.13",0,3.97,9.13%
IT | Pmax | Conv | Hot&Cold,,,"54,519","5,099,908",1.07%,EUR,0.27,14656.62,0,0,525.75,23,27.88,0.80%
IT | Search | Traffico | Cold,,,"99,207","718,356",13.81%,EUR,0.05,4572.46,27.37%,48.76%,296.68,0,15.41,0.30%
